#property,line_cd,station_cd1,station_cd2
960,11214,1121455,1121456
961,11214,1121456,1121457
962,11214,1121457,1121458
963,11214,1121458,1121459
964,11214,1121459,1121460
965,11215,1121501,1121502
966,11215,1121502,1121503
967,11215,1121503,1121504
968,11215,1121504,1121505
969,11215,1121505,1121506
970,11215,1121506,1121507
971,11215,1121507,1121508
972,11215,1121508,1121509
973,11216,1121601,1121602
974,11216,1121602,1121603
975,11216,1121603,1121604
976,11216,1121604,1121605
977,11216,1121605,1121606
978,11216,1121606,1121607
979,11216,1121607,1121608
980,11216,1121608,1121609
981,11216,1121609,1121610
982,11216,1121610,1121611
983,11216,1121611,1121612
984,11216,1121612,1121613
985,11216,1121613,1121614
986,11216,1121614,1121615
987,11216,1121615,1121616
988,11216,1121616,1121617
989,11216,1121617,1121618
990,11216,1121618,1121619
991,11216,1121619,1121620
992,11216,1121620,1121621
993,11216,1121621,1121622
994,11216,1121622,1121623
995,11216,1121623,1121636
996,11216,1121624,1121625
997,11216,1121625,1121626
998,11216,1121626,1121627
999,11216,1121627,1121628
1000,11216,1121628,1121629
1001,11216,1121629,1121630
1002,11216,1121630,1121631
1003,11216,1121631,1121632
1004,11216,1121632,1121633
1005,11216,1121633,1121634
1006,11216,1121634,1121635
1007,11216,1121636,1121624
1008,11217,1121701,1121702
1009,11217,1121702,1121703
1010,11217,1121703,1121704
1011,11217,1121704,1121722
1012,11217,1121705,1121706
1013,11217,1121706,1121707
1014,11217,1121707,1121708
1015,11217,1121708,1121709
1016,11217,1121709,1121710
1017,11217,1121710,1121712
1018,11217,1121712,1121714
1019,11217,1121714,1121715
1020,11217,1121715,1121716
1021,11217,1121716,1121717
1022,11217,1121717,1121718
1023,11217,1121718,1121719
1024,11217,1121719,1121720
1025,11217,1121720,1121721
1026,11217,1121722,1121705
1027,11218,1121801,1121802
1028,11218,1121802,1121803
1029,11218,1121803,1121804
1030,11218,1121804,1121805
1031,11218,1121805,1121806
1032,11218,1121806,1121807
1033,11218,1121807,1121808
1034,11218,1121808,1121809
1035,11218,1121809,1121810
1036,11218,1121810,1121811
1037,11218,1121811,1121812
1038,11219,1121901,1121902
1039,11219,1121902,1121903
1040,11219,1121903,1121904
1041,11219,1121904,1121905
1042,11219,1121905,1121906
1043,11219,1121906,1121907
1044,11219,1121907,1121908
1045,11219,1121908,1121909
1046,11219,1121909,1121910
1047,11219,1121910,1121911
1048,11219,1121911,1121912
1049,11219,1121912,1121913
1050,11219,1121913,1121914
1051,11219,1121914,1121915
1052,11219,1121915,1121916
1053,11219,1121916,1121917
1054,11219,1121917,1121918
1055,11219,1121918,1121919
1056,11219,1121919,1121920
1057,11220,1122001,1122002
1058,11220,1122002,1122003
1059,11220,1122003,1122004
1060,11220,1122004,1122005
1061,11220,1122005,1122006
1062,11220,1122006,1122007
1063,11220,1122007,1122008
1064,11220,1122008,1122009
1065,11220,1122009,1122010
1066,11221,1122101,1122102
1067,11221,1122102,1122103
1068,11221,1122103,1122104
1069,11221,1122104,1122105
1070,11221,1122105,1122106
1071,11221,1122106,1122107
1072,11221,1122107,1122108
1073,11221,1122108,1122109
1074,11221,1122109,1122110
1075,11221,1122110,1122111
1076,11221,1122111,1122112
1077,11221,1122112,1122113
1078,11221,1122113,1122114
1079,11221,1122114,1122115
1080,11221,1122115,1122116
1081,11221,1122116,1122117
1082,11221,1122117,1122118
